address,distance,rating,capacity,area,price
hanoi,7400,50,2,97,2600000
hanoi,4600,96,2,50,1000000
hanoi,6400,90,2,72,1650000
hanoi,12000,70,2,50,1100000
hanoi,4800,75,2,38,500000
hanoi,800,60,2,35,648000
hanoi,7700,85,2,30,700000
hanoi,1800,100,2,65,933000
hanoi,2500,90,2,40,560000
hanoi,2400,65,2,33,807500
hanoi,7600,90,2,36,760000
hanoi,4500,80,2,136,2511000
hanoi,4900,73,2,106,1440000
hanoi,4800,60,2,40,1500000
hanoi,5700,100,2,90,1365000
hanoi,9500,80,2,85,1757500
hanoi,6600,100,2,79,1399999
hanoi,5300,100,2,40,349600
hanoi,7400,93,2,110,2375000
hanoi,1700,80,2,40,810000
hanoi,7400,100,2,72,1300000
hanoi,600,100,2,40,650000
hanoi,7800,95,2,30,700000
hanoi,1000,100,2,70,1250000
hanoi,450,60,2,30,760000
hanoi,7700,90,2,30,720000
hanoi,7600,87,2,60,1485000
hanoi,7700,10,2,30,800000
hanoi,7700,100,2,30,800000
hanoi,10300,97,2,43,617500
hanoi,1100,96,2,130,2200000
hanoi,6000,90,2,330,3000000
hanoi,4400,65,2,20,400000
hanoi,3900,100,2,50,2000000
hanoi,7900,66,2,35,807500
hanoi,1800,100,2,125,1680000
hanoi,7800,90,2,30,688750
hanoi,2600,100,2,40,600000
hanoi,7700,25,2,30,684000
hanoi,3900,100,2,55,1804050
hanoi,3300,90,2,40,956250
hanoi,7400,100,2,70,1871500
hanoi,4100,87,2,65,759000
hanoi,6300,50,2,46,900000
hanoi,29000,80,2,170,6240000
hanoi,4700,90,2,60,1000000
hanoi,4900,100,2,88,1800000
hanoi,6600,74,2,50,1520000
hanoi,2600,60,2,20,600000
hanoi,4400,77,2,40,809100
hanoi,6500,87,2,70,980000
hanoi,2200,75,2,40,460000
hanoi,900,70,2,180,1120000
hanoi,2400,97,2,35,630000
hanoi,3000,90,2,80,1980000
hanoi,2800,95,2,30,570000
hanoi,6400,92,2,50,1519050
hanoi,7700,73,2,96,1100000
hanoi,1200,98,2,65,950000
hanoi,1100,90,2,80,1200000
hanoi,4200,90,2,25,456000
hanoi,250,85,2,40,680000
hanoi,6400,100,2,40,850000
hanoi,7700,90,2,30,550000
hanoi,6800,67,2,35,855000
hanoi,4500,90,2,60,873000
hanoi,3000,95,2,48,1170000
hanoi,600,100,2,200,2596800
hanoi,3900,100,2,75,1530000
hanoi,3800,87,2,55,1990000
hanoi,4900,88,2,43,650000
hanoi,600,80,2,20,900000
hanoi,6500,95,2,50,1269960
hanoi,800,100,2,35,1300000
hanoi,2500,90,2,40,560000
hanoi,4100,87,2,65,759000
hanoi,3900,100,2,50,2000000
hanoi,600,100,2,40,650000
hanoi,7500,100,2,50,1567500
hanoi,7500,100,2,50,1567500
hanoi,3900,78,2,75,1530000
